LotArea,BedroomAbvGr,OverallQual,YearBuilt,SalePrice
3853,3,5,1984,102628
8585,5,1,2014,78649
14851,4,3,2004,122508
3291,3,2,1994,55029
5581,2,1,2011,32698
13649,2,7,1998,145284
9554,3,5,1974,120599
9280,4,1,1972,61389
3636,2,6,1973,97248
5696,5,5,1987,131958
13191,2,3,1977,84360
13344,1,7,1970,124621
2698,1,10,2003,148345
12352,4,9,1967,176580
14289,3,9,1985,174869
6737,4,9,1994,182811
2854,4,2,2022,83876
10164,4,3,2002,113118
7855,4,7,1979,146519
9392,5,5,2009,122617
8528,5,2,1981,91733
13666,2,3,2016,93508
7249,1,10,2016,170585
7172,4,6,1977,136185
3707,2,7,1993,103043
12969,1,9,1990,172025
7791,3,1,2012,54986
11925,5,7,1972,146062
7535,1,8,1997,133075
6931,3,3,1981,68066
5510,1,4,2006,80588
2202,5,10,1982,188121
13447,5,6,1973,152270
6218,2,10,1988,179146
14688,4,7,1983,167692
10958,1,4,2005,87691
6389,1,8,1977,124436
4327,3,5,1986,103241
10004,5,1,1956,75609
4931,1,4,2017,77855
9777,5,3,1986,114024
2197,1,9,2005,121088
9125,2,8,2014,161414
3930,4,1,2014,51578
13774,1,6,1996,156077
8287,5,9,1969,187912
10800,2,7,1968,126290
13464,1,4,1978,83498
11339,3,1,2009,79776
6282,4,2,1967,77295
13589,1,5,1984,112201
4511,2,5,1992,93397
11986,3,8,1960,157650
2659,2,6,1998,95181
4811,2,8,1987,142727
9098,3,2,2013,73342
8546,2,3,2018,77179
11561,3,6,1957,106540
3986,1,10,1983,167105
10338,3,3,1997,101012
13411,3,6,2005,170825
4911,4,6,2014,145730
3734,3,2,1980,49152
3843,3,7,1953,112639
10680,1,2,1999,55358
4976,4,6,2018,124983
3959,5,1,1979,57632
7759,1,3,2008,64739
8694,1,2,2016,62725
4385,5,7,1994,166234
13111,3,4,1953,83665
6736,2,8,1975,154841
3802,4,6,1976,105403
10155,2,10,1995,191456
10120,5,4,2013,141741
8616,1,5,2000,110137
7534,1,9,1999,148573
6061,4,7,1955,156527
13561,1,10,2008,192524
2262,1,9,1964,130220
8287,4,7,1979,159105
10815,4,1,1991,63559
11208,5,8,1986,198150
13835,1,4,1991,84641
4049,1,3,1984,62333
7423,5,7,1955,130996
13915,3,3,2017,116906
6548,3,8,1967,149439
5108,3,6,2022,146433
14282,5,5,1978,171438
9158,1,4,2008,89955
12248,5,8,1996,206050
9400,5,8,1966,190994
5170,3,1,1971,32379
11874,2,9,2017,180787
4255,1,5,2018,77545
3154,3,4,1986,102686
6499,2,6,1998,113656
8295,2,6,1962,95190
8197,4,2,1983,61552
13383,1,8,2002,153277
11888,2,7,2000,164263
14183,3,1,1952,54828
14915,4,5,1991,151123
14874,1,6,1981,134640
3648,5,4,2000,96719
7539,3,2,1995,57977
11637,2,4,1970,80945
6199,2,1,1993,48339
14115,3,7,1960,122879
10445,2,2,2017,76974
13375,4,2,1950,80394
4557,1,9,2012,136122
7592,4,5,1973,120582
2098,2,2,1962,25925
4200,5,9,1960,180240
4961,1,9,2000,142643
6973,1,1,1966,-445
6433,3,3,1973,61920
13969,3,4,1968,92420
4869,5,7,1986,149200
13426,1,10,1957,146402
13983,5,4,1977,133759
2956,3,2,1954,27001
14259,3,7,1966,158663
10352,1,6,1985,111364
7699,4,3,1968,67605
8944,2,6,2013,128543
6493,3,6,1960,107295
11492,3,5,2003,127090
6911,4,4,1994,103384
5987,4,10,1996,186984
11719,5,1,1961,74195
8015,5,10,1970,182147
3218,2,6,1960,86465
6496,2,2,1954,46555
6735,1,3,2005,55977
13296,5,8,1969,194876
12927,3,10,1990,192836
6555,5,6,1995,153228
11146,3,3,1961,77315
10050,4,7,2019,189403
14757,5,4,1966,116144
5446,4,9,1968,162875
3045,2,5,1975,92138
8893,2,3,1997,69637
3693,1,2,2001,30012
5436,5,2,2019,82888
10754,4,3,2004,112821
12677,3,2,1982,92636
7895,2,4,2011,97523
5354,2,2,1972,28345
2225,3,10,1964,134823
6893,4,9,1976,182411
9022,4,2,2013,105482
11151,5,9,2000,201755
7600,5,6,2002,136856
14740,1,1,2000,77478
13259,2,4,1996,121230
9996,5,1,1953,53626
11007,4,6,1956,121847
14946,3,4,1984,128003
9683,4,3,1997,75064
6642,2,3,2022,100234
13312,4,9,2021,208576
9679,1,6,1994,101520
10208,2,9,2021,172087
9339,3,5,1968,88825
11435,1,2,2012,59867
4205,2,8,1987,154288
12716,3,5,2016,149039
3069,1,2,2008,50132
5444,1,4,2018,90314
12757,2,9,1962,165156
3060,5,4,1996,108682
4327,1,4,2010,71459
5420,1,2,1980,30209
2301,3,6,1971,87367
14468,4,2,1992,112572
2606,2,7,2016,111025
5170,2,3,2003,59335
2699,5,3,1959,91185
7088,5,5,1991,136743
11331,2,3,2013,94890
2190,5,2,1970,68370
12492,3,10,2015,198172
2980,2,9,1990,136179
4975,5,2,1973,68787
8102,2,2,1984,43543
3184,4,8,2005,162118
5327,1,9,1979,139682
5394,2,7,2006,151159
10319,1,3,1996,83284
12257,5,9,1984,181404
3816,1,3,1968,36299
7854,2,5,1957,86542
8709,4,9,1975,159468
2569,5,3,2020,89046
7442,2,7,1979,145657
3895,5,1,1956,45708
4733,3,4,2016,97640
5863,1,4,2014,84462
14913,3,7,1985,152426
9455,2,8,1974,156560
6014,4,1,1986,46538
13093,5,5,1950,143557
3686,1,7,1964,84207
5009,5,4,1986,106482
9806,2,4,1962,70169
2154,5,4,1957,83591
12729,1,6,1954,103608
3409,2,7,2009,135937
14249,5,2,2022,121569
2784,4,5,1950,90952
13367,2,4,1985,97228
10096,2,3,1984,114153
9560,4,7,2015,167847
14533,3,6,2012,153548
9343,1,7,1972,132592
9206,3,5,1958,98448
7596,5,6,1983,145215
7801,4,5,1995,129686
4806,3,7,1953,106492
2537,2,2,1979,28560
7986,5,5,2021,143306
3841,5,6,1952,108769
12647,3,6,1963,119387
10716,3,5,2009,130737
8971,4,10,1994,203407
7625,1,7,1983,103064
4950,3,10,1994,189796
9992,3,8,2010,184883
14323,2,7,1965,131970
6780,5,5,2015,140195
14307,1,1,1989,57949
4368,2,5,1966,91169
14039,4,10,1983,235409
8655,4,2,1965,59594
10173,3,5,2009,130956
6495,3,5,2015,115979
12893,4,2,2015,96939
11163,3,5,1962,117305
8002,1,4,2005,81845
8614,3,1,1980,62358
11358,5,3,1983,133326
7919,3,1,1988,70239
12966,2,5,2016,102310
12174,1,4,1957,67512
2853,2,7,2004,104338
6146,2,5,1976,81006
13928,5,10,2002,212025
5769,1,4,1988,78831
2574,1,2,2014,44416
13453,1,4,1966,78928
3148,1,2,1979,21354
8293,1,8,2002,146129
8457,5,3,1962,74143
9509,3,9,1970,155755
11907,2,4,1968,65604
6777,1,6,2002,113788
5854,3,10,1968,159260
4491,3,5,2006,105577
12852,2,10,1974,190042
5124,5,1,1980,73478
7691,4,9,2004,197940
5051,4,1,1972,41359
2004,3,8,1981,136518
7222,2,9,2011,167579
7315,4,9,1959,143920
6869,3,1,2021,62703
2876,5,2,2003,73364
11183,4,1,2001,61716
9027,3,10,1969,185568
6142,3,2,1981,53580
8966,1,10,1963,144411
9079,5,8,1999,180140
9987,1,5,1977,95065
8799,2,7,2002,108899
14556,1,2,1973,56290
6465,1,8,1971,127863
2635,4,6,1979,124591
3693,3,8,2012,134901
11874,5,1,1953,51488
6752,1,1,2008,36649
10311,5,7,1957,168506
2830,1,8,1961,104458
13867,2,3,1980,81524
7177,1,5,1983,93790
11561,4,1,1998,84646
10932,3,7,2006,174016
10308,2,5,1975,93194
7949,1,8,1967,133990
4838,5,8,1987,142255
3150,2,9,1999,161710
9560,2,7,1957,127192
3931,1,1,1990,21124
11204,2,3,1955,66010
3664,5,8,2018,159587
3081,2,3,1993,61646
14921,5,8,2013,208768
2512,1,1,1978,16378
13041,3,5,1977,119004
9805,2,4,1960,78597
7237,3,5,2014,113656
2559,5,8,1968,160368
5672,2,10,1958,146022
14775,4,4,1976,123008
9404,3,4,1983,88813
5343,2,3,1993,61529
6070,3,7,2017,159628
14991,2,3,1964,98437
11662,1,3,2000,96464
2580,3,10,1962,146537
9004,4,5,1998,137548
12486,4,5,2019,141582
10130,5,6,2005,172430
5147,2,8,2000,130302
6249,3,10,1986,181647
3679,5,6,1966,115491
5506,3,1,2007,57999
9253,2,8,1978,161957
4744,4,8,1982,152147
13548,1,9,2009,185684
14237,4,9,2004,212865
11435,5,2,1959,93832
7188,1,2,1996,54234
13310,5,3,1972,114811
4141,2,1,1970,30028
13251,1,4,1962,60934
14740,5,4,1982,149780
13151,2,9,1973,162690
12457,4,9,1960,187677
8617,2,9,1966,159835
4479,3,10,2017,190494
8484,2,7,1996,150761
14838,2,2,1974,88572
11827,3,10,2022,210863
9421,5,5,1970,122937
11949,5,4,1961,122129
6452,2,8,1986,137693
12262,3,2,1991,78309
7881,3,6,1966,112060
8665,4,5,1997,113493
4849,5,2,1977,66469
13443,1,10,1990,166591
9390,5,1,1996,83748
8905,5,8,1967,186677
13922,4,2,2020,102117
4489,1,7,1962,110182
11823,4,9,1962,185380
13008,1,9,1980,161950
11207,2,8,1951,136613
11540,1,10,1965,171777
6611,4,9,1958,164443
13279,5,2,2022,108373
4839,1,6,1987,88577
10527,1,4,2003,106062
7878,3,4,2005,89214
14784,5,5,1994,119792
11087,2,3,1983,75485
8303,4,1,1958,45363
13738,2,8,1957,150749
2851,5,5,1956,114076
3687,1,3,1985,48506
12123,1,10,1967,173229
8833,5,7,1952,148666
13938,1,7,1977,130475
4427,1,1,2019,55273
11760,1,9,1993,147124
6000,4,2,1970,52810
7052,4,5,1977,115057
4738,3,5,2003,119804
13690,2,8,2003,161863
7732,5,8,2014,185525
7387,5,7,1970,174840
10002,5,7,1962,148781
7536,3,6,2006,143896
5913,4,6,1998,151760
3066,3,9,2003,160333
9723,5,6,1959,121349
6380,2,2,2002,56580
12636,1,2,1993,77040
6107,4,5,1996,131830
7726,4,4,2002,117039
5373,3,2,1995,81088
14161,4,3,1962,103082
12738,5,7,1986,198723
10945,5,8,1973,170796
4082,3,6,1951,121282
12966,5,5,1963,148968
13088,2,1,1959,45549
14377,3,8,1984,195535
10967,2,3,1974,77270
8748,1,6,1952,108839
11817,2,3,1966,40672
13261,1,7,1961,135486
2417,1,7,2003,117520
10306,2,9,1973,171267
10808,3,5,1978,108966
5974,5,8,1992,176409
5267,5,10,1974,201798
2825,1,10,2009,168864
9668,1,8,2014,164956
7745,3,1,1977,64318
11708,4,5,1965,132235
13338,2,3,1996,103418
2412,1,1,2007,41533
9543,5,4,1976,107654
9587,3,8,2002,152445
2728,2,3,1991,59399
13540,3,10,2008,226502
9164,2,2,1996,65509
13000,2,9,1983,186054
10867,1,10,1986,185903
13657,3,5,1955,140042
7988,3,7,1956,128683
4504,5,2,1974,74781
4967,5,9,1982,178785
4786,1,9,2004,137455
3122,1,4,2007,46579
6079,4,4,1956,80236
3571,5,6,2006,118955
7073,2,10,1961,170094
7104,3,10,1965,174555
4143,1,10,1992,142683
11879,3,6,1956,119122
8806,3,1,2000,56924
9357,4,9,2022,205789
14324,5,2,1981,97232
14043,1,5,1957,81010
5440,3,9,2021,177061
5766,1,4,1994,72554
7644,2,3,2008,63796
12518,4,7,1953,144539
4914,2,6,2016,102425
6968,1,8,1978,135971
7917,1,3,1978,53439
14144,5,5,1977,134405
10787,3,10,1993,184923
2728,3,4,1953,56692
3365,2,4,1958,69085
6492,4,4,1954,88002
2698,3,10,2005,169565
9186,5,8,1999,199300
2395,2,6,1964,95927
9400,2,3,1981,65824
10082,5,10,1977,190812
6171,4,5,1971,105465
6360,5,6,1966,128922
4502,4,5,2008,123317
12011,5,6,2020,179059
2717,5,8,2006,179317
4782,1,7,1975,87109
6946,2,5,1974,88453
13769,5,10,1959,202565
7486,5,6,1994,179970
10335,3,4,1960,81656
6980,2,9,2002,166077
13332,3,4,2021,131192
9266,2,1,2017,68697
6491,3,7,1977,117281
9192,5,7,2014,181291
13130,5,4,1998,125866
7588,1,3,1996,58911
9651,3,8,2001,154198
5636,4,5,2003,113337
13414,1,10,2009,195939
3167,3,7,2006,146081
12808,3,4,1996,117792
3062,1,4,1980,42108
4156,5,8,1995,170716
9860,3,8,1975,127859
7161,5,2,1954,54070
7305,1,2,2001,65484
13174,5,3,2003,134984
8541,2,3,1982,70815
13486,4,1,1999,87880
6729,3,3,1987,80018
11348,4,6,1976,111611
9330,5,8,1964,173033
7334,3,10,2010,199254
10924,5,6,1970,143862
6330,2,5,1995,98439
10010,1,4,2018,82212
8801,3,3,1955,95232
6846,2,4,1987,83526
8731,2,7,2011,166207
9241,3,1,2011,60068
2953,5,7,1995,155219
4539,2,1,1962,18587
9056,4,2,1952,45331
13516,2,4,1955,80252
13493,5,1,1957,78526
3542,5,9,1993,175303
7293,4,6,1982,130331
3191,2,1,1999,11241
8313,5,1,1960,70915
13185,3,6,1977,140212
8938,1,4,2019,99104
4681,1,4,1990,86599
11409,1,6,1965,116204
3540,2,7,2017,147233
8172,4,9,1997,192968
13428,5,10,2005,210055
7541,3,5,2013,128854
12578,3,9,2008,183507
13911,2,4,2011,100866
11580,1,10,1960,149815
12048,2,2,1967,44059
3365,4,3,1968,72201
10691,4,1,2004,71546
11872,5,6,1975,153423
10702,5,6,1955,136896
9494,4,1,1953,63399
6312,4,3,1978,86154
3324,4,5,2008,101554
11347,2,3,1966,61124
12019,4,10,1992,212276
5141,3,3,2015,98308
9419,1,10,1983,147110
5486,4,3,1957,65644
3810,1,5,1962,52407
8588,2,5,1957,91131
4923,1,4,2014,78514
7301,2,1,1992,25919
12406,3,5,1988,101071
6186,2,10,2008,185984
10905,2,5,1993,120493
7977,5,4,1958,96776
13794,4,6,1986,168569
14326,4,10,1985,214277
13714,3,4,1977,119581
6268,3,7,1991,149192
6748,4,7,1992,147559
6849,5,2,1991,71313
11435,4,3,2015,128737
5709,5,1,2004,80480
11273,3,8,2021,188304
8619,1,9,1997,155439
10647,3,4,1971,85525
11086,3,6,1976,147096
11576,2,9,2016,184369
12150,2,6,1962,112049
5072,2,9,1994,166222
8530,2,4,1959,68838
12188,5,8,1958,165987
14477,4,9,2003,192979
2504,1,4,1976,53350
3214,3,5,1983,106539
3531,5,8,1950,157880
13632,1,10,1981,192043
9576,5,6,2020,162138
2823,5,7,2016,169926
2928,3,3,1969,50770
7029,4,7,1984,155868
2133,2,8,1966,114557
4105,4,10,1967,156967
5627,3,6,1994,109827
14972,3,10,2002,197554
8316,3,9,2017,183644
3852,1,6,2014,100876
6910,4,9,1950,148565
6175,4,4,2007,122289
13125,5,8,1975,176106
13476,5,4,1969,147864
14490,5,2,1959,105024
13003,3,10,2008,203475
7348,4,9,1990,182782
11442,3,5,1954,112748
13704,1,4,2014,111333
8190,5,2,1966,89297
3256,3,1,1971,37396
5376,3,7,1990,121923
7645,1,6,2017,114081
5486,2,2,2018,67349
5584,4,8,1960,149019
11588,2,4,2005,99488
13829,5,8,2000,196821
10053,3,7,1970,149137
5330,1,5,1975,86797
4703,1,10,1968,132261
10662,4,10,2009,208025
10120,2,8,2020,166068
9114,4,9,1996,182355
3353,3,5,2020,98774
12975,4,10,1975,228856
13023,1,5,1989,98576
7063,1,2,1954,20203
10549,5,5,1970,146632
13211,5,3,1953,114039
9575,3,7,1972,124139
2667,2,10,1964,151178
6468,4,5,1957,102904
11337,3,8,1990,175906
8819,5,1,1968,65481
14377,4,3,1995,112367
5719,5,3,1977,65200
4745,4,9,2017,199275
9483,2,5,1964,84890
2539,3,9,1986,162846
12971,4,9,1950,190122
6964,1,1,2016,37447
14328,1,2,1973,62550
6835,4,5,1976,128271
5775,4,4,1989,86280
8042,4,10,2012,201192
9102,1,9,2010,169719
9312,1,7,1985,107156
7320,4,6,1973,140957
8132,5,7,1973,155660
9891,5,1,1953,70447
12700,2,1,2016,55838
4779,3,8,1983,127545
2924,5,2,2006,87449
13148,1,10,1998,219955
3581,5,9,2002,183806
9714,2,7,1972,106839
5324,2,6,2018,133037
14677,3,1,2002,80157
7713,5,1,2011,70076
9026,1,2,1990,50197
2255,1,6,2006,88762
6804,4,6,2009,137616
3838,1,2,2003,38868
12136,3,1,2019,66347
2009,3,10,2006,164307
4871,1,5,1959,65375
10989,1,5,1989,95070
9409,4,2,1956,51765
9418,1,6,1987,116378
7124,4,9,2010,173220
3015,4,2,1952,45838
12016,1,10,2000,189849
14661,2,2,1996,87512
13328,2,3,2017,92867
4193,4,7,1987,154606
10415,1,6,1985,107799
9449,2,8,1990,155098
6158,1,8,2018,146057
5925,1,6,1962,84538
8970,1,10,2007,176812
8938,5,3,1999,113077
6784,1,3,1979,60305
6000,5,1,2011,75643
3633,4,7,1974,122039
12344,2,5,1976,107631
9266,2,4,2000,94806
10702,2,10,2006,185718
2384,2,4,1996,63833
2404,2,4,1988,69903
10175,2,6,1965,127644
14805,2,8,1971,143560
14763,4,8,2003,203217
4000,1,5,1970,77285
12948,3,6,2021,152447
11860,5,4,1965,120352
7989,3,9,2008,170114
3460,3,8,1980,142985
9190,1,10,1991,159524
9140,1,10,1981,152390
5636,1,1,2008,30636
12916,2,2,1983,87679
6809,4,9,1958,167778
6178,2,8,1960,127202
9245,4,3,1959,84361
8600,4,8,1966,140990
7997,3,1,2017,53870
4048,3,10,1997,176764
14338,4,4,2001,113986
6780,4,3,1974,103133
2716,2,6,1970,78929
9939,2,7,2014,141162
7565,3,4,2012,116408
6544,1,7,2000,120469
6976,4,9,1985,142854
14775,2,2,2015,111604
12015,3,3,1964,69414
12273,2,5,1988,127223
5419,4,3,2019,89153
9239,4,8,1950,146104
11766,5,10,1972,189816
2249,1,8,1988,113206
10865,5,8,2006,177925
14725,3,9,1983,177825
12357,2,4,1990,92782
2770,3,5,2022,96050
14154,4,5,1962,114221
6363,5,8,2019,205760
12176,5,7,1955,181727
3077,5,9,2001,186585
10427,3,8,1952,147501
10580,4,2,2012,112190
13229,2,10,1998,197018
9901,2,4,1996,93455
6858,3,6,2004,121283
12040,5,2,2013,93099
8544,1,7,2014,134438
6719,3,3,2016,76993
4814,3,3,1964,53408
5374,4,2,1981,58781
13470,2,8,2017,175209
3252,3,6,1967,95673
8996,3,1,1992,56530
14173,5,1,1984,98835
6673,5,7,2007,177627
12314,1,8,1982,149456
6530,4,5,1963,89219
12342,1,5,1983,91031
8881,5,4,2010,121691
8949,2,6,1953,105387
11521,5,6,2008,164978
8241,4,3,1978,107988
10017,5,9,1955,174205
8941,4,7,1998,161060
11550,4,1,1989,45967
9002,4,7,2014,159115
12674,4,5,2018,159745
14734,4,5,1976,131336
12209,2,2,1955,24277
3331,1,4,1962,43780
14536,3,6,2013,168931
6261,1,10,2011,166112
9648,4,7,1968,141755
11550,2,5,1992,123254
7115,5,9,1969,171403
6637,2,3,2017,91499
6854,4,1,1993,61760
5177,2,4,1972,74001
9730,2,9,1951,148712
12320,4,4,1971,109495
4180,2,2,2006,52660
6892,3,10,2021,194701
9043,3,5,1956,86347
2137,2,3,2005,74789
8327,5,9,2016,209809
5472,4,4,1965,99935
7449,3,6,2000,142273
4832,5,2,2021,91213
5579,2,6,1961,80330
7971,5,3,2002,113000
13223,1,9,1954,144711
6164,3,2,1976,38074
12785,2,9,1961,153414
9941,4,5,1966,113772
7569,2,8,1955,116605
6300,4,2,1954,42542
8269,2,6,2006,118945
5818,5,3,1977,92400
14330,5,10,2018,254526
14015,5,5,2008,180820
14234,1,8,1982,151522
3906,4,10,2011,206190
8254,5,1,1999,73873
2760,1,5,1968,46836
9830,4,3,2018,104597
9350,2,4,2015,87290
8238,1,2,1996,46354
8090,3,9,1988,186498
13637,1,3,2017,122876
8031,1,2,1982,48905
9687,4,10,1962,164936
11091,2,9,2003,179910
14647,3,7,1956,134785
13139,5,6,1963,144256
11911,5,1,1968,76766
10472,1,5,2003,107817
13458,4,3,1969,80803
3887,4,1,1978,37426
5266,5,4,1973,111088
2666,3,2,2012,39907
6188,2,2,2006,56204
2671,3,3,1957,56916
12161,2,8,2011,177581
14348,5,8,1978,177064
8777,2,7,1966,132083
13314,4,6,2015,189810
9570,1,9,1955,135991
9956,1,4,2007,89031
7124,5,1,2018,88964
